,data_time,eta_seconds,fast_rcnn/cls_accuracy,fast_rcnn/false_negative,fast_rcnn/fg_cls_accuracy,iteration,loss_box_reg,loss_cls,loss_rpn_cls,loss_rpn_loc,lr,rank_data_time,roi_head/num_bg_samples,roi_head/num_fg_samples,rpn/num_neg_anchors,rpn/num_pos_anchors,time,total_loss,bbox/AP,bbox/AP-Aortic enlargement,bbox/AP-Atelectasis,bbox/AP-Calcification,bbox/AP-Cardiomegaly,bbox/AP-Consolidation,bbox/AP-ILD,bbox/AP-Infiltration,bbox/AP-Lung Opacity,bbox/AP-Nodule/Mass,bbox/AP-Other lesion,bbox/AP-Pleural effusion,bbox/AP-Pleural thickening,bbox/AP-Pneumothorax,bbox/AP-Pulmonary fibrosis,bbox/AP50,bbox/AP75,bbox/APl,bbox/APm,bbox/APs,validation_loss
0,0.001299199997447,2128.078812979511,0.0029296875,0.0,0.025676937441643,19,0.019976059906184,2.881583333015442,2.101628184318542,0.24093650281429202,1.951603690480395e-05,0.001299199997447,502.25,9.75,214.25,41.75,0.21323434999794702,5.241945728193968,,,,,,,,,,,,,,,,,,,,,
1002,0.0013379500014700002,2008.6486519977916,0.18994140625,0.268811881188118,0.0,19,0.032439301721751,2.568721294403076,1.683371365070343,0.13544973731040902,1.951603690480395e-05,0.0013379500014700002,500.0,12.0,224.75,31.25,0.20126739999977802,4.52847674334771,,,,,,,,,,,,,,,,,,,,,
1003,0.0012717500067080001,2005.138186989352,0.05664062500000001,0.0,0.0,19,0.042292922735214004,2.5562117099761963,2.121275603771209,0.18315918743610302,1.951603690480395e-05,0.0012717500067080001,497.25,14.75,210.75,45.25,0.20091564999893302,4.970689756795764,,,,,,,,,,,,,,,,,,,,,
1504,0.001497199991717,3464.3803539761575,0.00830078125,0.0,0.012195121951219001,19,0.05281682871282101,2.780632853507995,1.943475902080535,0.207910723984241,1.951603690480395e-05,0.001497199991717,496.25,15.75,213.0,43.0,0.34713229999761,5.039007715502521,,,,,,,,,,,,,,,,,,,,,
1654,0.0011457000000510001,1947.6464010086784,0.00341796875,0.0,0.047619047619047006,19,0.043921655043959,2.792321681976318,2.066278100013733,0.16792678833007801,1.951603690480395e-05,0.0011457000000510001,497.5,14.5,213.75,42.25,0.19515495000086902,5.200408563017845,,,,,,,,,,,,,,,,,,,,,
501,0.001131199984229,1905.1505630652537,0.03955078125,0.0,0.0,19,0.032011143863201,2.717594981193542,2.68386173248291,0.307600930333137,1.951603690480395e-05,0.001131199984229,498.0,14.0,196.25,59.75,0.19089685000653803,5.784540024586022,,,,,,,,,,,,,,,,,,,,,
502,0.0011638000141820002,1884.895637986483,0.9443359375,1.0,0.0,39,0.13280375301837902,2.035322189331054,0.518489092588424,0.20323072373867002,3.9006602067755486e-05,0.0011638000141820002,488.0,24.0,214.25,41.75,0.185153250000439,2.922845065593719,,,,,,,,,,,,,,,,,,,,,
1,0.0014580499992000002,2080.1151238643797,0.9189453125,1.0,0.0,39,0.08598880469799,2.080188870429992,0.59418973326683,0.141408823430538,3.9006602067755486e-05,0.0014580499992000002,493.75,18.25,229.5,26.5,0.204450449993601,2.875753913074732,,,,,,,,,,,,,,,,,,,,,
1655,0.001240500001586,1923.0648480268428,0.94921875,1.0,0.0,39,0.085391163825988,2.024189710617065,0.49208353459835,0.17770807445049203,3.9006602067755486e-05,0.001240500001586,492.75,19.25,220.0,36.0,0.19074154999543602,2.702201180160045,,,,,,,,,,,,,,,,,,,,,
1004,0.001329499995335,1971.86088011018,0.9477539062499999,1.0,0.0,39,0.08944710344076101,1.948343098163604,0.6637552976608271,0.162538543343544,3.9006602067755486e-05,0.001329499995335,493.75,18.25,222.5,33.5,0.196184400003403,2.9710395708680153,,,,,,,,,,,,,,,,,,,,,
